city,population,id,city_seal
Hampton,8546523,d54c9e8f-b04a-4246-b4fb-4984a5be1fa8,http://placehold.it/300x250
Thornton,1330500,0aa60488-d4ad-470a-b29a-fd2b3c2813e4,http://placehold.it/300x250
El Paso,2116047,5132f58c-1913-4ace-98c6-ca12fb5fbfe0,http://placehold.it/300x250
Richmond,6185538,65e681e4-eab9-43bc-b474-bfcb35818a1b,http://placehold.it/300x250
Des Moines,1877305,36cc2de9-09da-463a-a979-4f73584354c3,http://placehold.it/300x250
Laredo,7909376,49728661-715a-4920-9fcf-ee5a3fd390c0,http://placehold.it/300x250
Austin,8564125,775ef995-8dd6-4734-9643-b06a0fcabaa6,http://placehold.it/300x250
Montgomery,9941985,6289db9f-d0ce-451a-803f-4f259f9f492e,http://placehold.it/300x250
Columbia,7521580,9a74d255-cc79-42fb-9ec8-2a5c93fefe8e,http://placehold.it/300x250
Garland,1906420,8216a7fc-ad3e-45da-ad76-6fb5bd292eaa,http://placehold.it/300x250
Rockford,4405512,baf3c77e-96f9-4aaf-b645-9683ab209a3d,http://placehold.it/300x250
Jersey City,8183225,194653eb-4204-4eab-ada9-c1661ad2f633,http://placehold.it/300x250
Lansing,4508012,866bee1d-47db-4f18-822f-75267dbbb2f2,http://placehold.it/300x250
Fayetteville,7812533,31924dd7-717a-4abd-9fa1-f5ee1ad4190e,http://placehold.it/300x250
Laredo,1007447,a388f8d9-aecd-4665-ba58-d73954a6a777,http://placehold.it/300x250
Irving,6054790,9842bd91-bc0a-4ce1-a4e5-af4ec65108e5,http://placehold.it/300x250
Overland Park,719380,ce21400e-8578-46d3-93c8-b8c9207fe226,http://placehold.it/300x250
Coral Springs,7425670,c9612bab-ff93-47cf-a838-952590882a9a,http://placehold.it/300x250
Grand Rapids,1879385,ef9719b5-8240-44ca-9213-f85cd5e5bc8a,http://placehold.it/300x250
Arlington,9158429,612eb43c-89b4-44cd-8d36-f10c896b9907,http://placehold.it/300x250
Tempe,9033410,8187bbfb-9e7c-45b4-9101-2b4d9da7328c,http://placehold.it/300x250
Los Angeles,8305816,edab8ebc-5013-471d-abba-2bdcc990fd95,http://placehold.it/300x250
San Bernardino,7358644,75d83b1d-2bc4-4a58-9454-d2bb57f55a72,http://placehold.it/300x250
Garland,4005315,049dd950-565f-459e-8315-758d3ff4a131,http://placehold.it/300x250
Laredo,5217493,fe398c0e-5028-4ab8-aa45-84f16365aee0,http://placehold.it/300x250
Miami,6377988,9ac60ddb-1e78-4cb1-af85-81f980b7fba1,http://placehold.it/300x250
Fontana,7673400,862fd69b-59c0-4f83-a74d-6c50362bc008,http://placehold.it/300x250
Austin,3223321,37502413-da84-49ee-b861-5e770a97fb0a,http://placehold.it/300x250
Irving,8316236,799e6914-a82a-4dfc-8042-13068d741594,http://placehold.it/300x250
Long Beach,5736285,9255b241-746a-41a3-a259-1840f7989d81,http://placehold.it/300x250
Columbus,6202440,1ead785b-957c-4f59-8cf2-77bbc69e2414,http://placehold.it/300x250
Gilbert,2018152,f399eee6-d129-4a45-9647-12ec319811bf,http://placehold.it/300x250
Springfield,3763962,6cd37783-865a-4e08-bd4e-8663b362691d,http://placehold.it/300x250
Tempe,5449676,0b747135-49bd-449d-bff6-bd89e2e3fa32,http://placehold.it/300x250
Hartford,9397555,48e949ad-fd6f-476d-9b84-05cec4bf2887,http://placehold.it/300x250
Topeka,292787,937573db-d314-439a-aa79-6e8035b58d40,http://placehold.it/300x250
Bellevue,1391581,c70649f6-83c4-4c49-a027-f9697892a846,http://placehold.it/300x250
Scottsdale,5459393,b914e4b7-cdd5-46cc-ac40-764584735c61,http://placehold.it/300x250
Greensboro,2729986,01fa1a29-6bfc-4624-b6a3-bf82c8f20fe9,http://placehold.it/300x250
Virginia Beach,4220942,fd05698c-676b-4f3d-b176-a515f25c2575,http://placehold.it/300x250
Newark,6958509,3bc419d2-8a78-44bb-b3a7-5b5d565c0967,http://placehold.it/300x250
Arlington,2108607,78d98b69-bae0-4638-8f02-ebc19eef627b,http://placehold.it/300x250
Las Vegas,3366938,f08d92b5-d19e-44b3-95f2-1059cd2ee996,http://placehold.it/300x250
St. Louis,1078054,e08eb175-3eab-4567-8e9e-59f5cb54ee5c,http://placehold.it/300x250
Des Moines,4905744,dfc7f1e2-75e2-4c9f-a314-c723fe183ed2,http://placehold.it/300x250
Modesto,8087370,3e453dde-f2a2-4989-9e49-972aed6f73f6,http://placehold.it/300x250
San Jose,417858,94e693ce-a8a6-4a86-8599-63a4548bccec,http://placehold.it/300x250
Alexandria,2057657,64689fb8-5583-4f01-8801-9be575a4ef80,http://placehold.it/300x250
Hollywood,2895639,af7c22d2-17cc-4888-9a63-c1758f5654d3,http://placehold.it/300x250
Alexandria,1949709,2fcee36c-ffcd-453d-8eb9-9d0f0508dfe8,http://placehold.it/300x250
Tempe,1472853,5ab33f90-c71b-49f5-bfb2-f5eb9273c8c3,http://placehold.it/300x250
Tallahassee,11952,0a689a84-3b1b-4663-b676-51610339c37e,http://placehold.it/300x250
Springfield,5147382,e63d8f08-0acf-43e1-ae6a-e9d0b39eb87b,http://placehold.it/300x250
Hialeah,8245228,9882031c-ced2-4796-a47a-5ccb514cb127,http://placehold.it/300x250
Fort Worth,1287462,7712e361-a83c-4f93-901b-e44a52fda7f6,http://placehold.it/300x250
Madison,1642845,309ddc32-d0a3-4734-8a18-ab8ce06256a1,http://placehold.it/300x250
Lexington,1054832,92329f9b-a0a8-4719-99cb-dd543b3a34ab,http://placehold.it/300x250
Washington,1934580,0d010080-18d6-4785-84ff-7738175a2e85,http://placehold.it/300x250
Washington,3318817,90587800-2a59-4936-9c8b-8b17759d1845,http://placehold.it/300x250
Sacramento,7793820,f644dfe8-15de-4759-aac0-4c7db15e9a4b,http://placehold.it/300x250
Sterling Heights,8754913,a39fd40d-7bbc-4b88-b968-1a9eec4e68bc,http://placehold.it/300x250
Henderson,8136767,c87f442e-7a56-47bb-92a9-192569e3e01a,http://placehold.it/300x250
Miami,8638139,ac52e834-db7e-44f6-9a9d-a485b7f0c69a,http://placehold.it/300x250
Baton Rouge,83572,83e0f185-590a-47fe-a173-34444858a089,http://placehold.it/300x250
Yonkers,100521,e51ccd5d-a8a0-4bf5-a423-51a5c5ed786b,http://placehold.it/300x250
Montpelier,3016363,91d93970-e0a1-46dd-bd8b-26b63e2a0219,http://placehold.it/300x250
Akron,8663503,14e0e185-2257-4b13-8391-257cc734c1b4,http://placehold.it/300x250
Peoria,7819560,d456b241-7a65-4d8f-94af-230517911c01,http://placehold.it/300x250
Columbus,3031620,1bd0aa34-59c3-4560-be05-240f8352c517,http://placehold.it/300x250
Grand Rapids,770473,780d4d42-b39b-4bcb-a66e-5736be312513,http://placehold.it/300x250
